time	miss_percent	period_cache_misses	period_requests
0	79.36	3968	5000
1	47.1	2355	5000
2	29.12	1456	5000
3	18.22	911	5000
4	10.46	523	5000
5	6.36	318	5000
6	3.72	186	5000
7	2.48	124	5000
8	1.12	56	5000
9	0.8	40	5000
10	0.52	26	5000
11	31.96	1598	5000
12	38.32	1916	5000
13	33.58	1679	5000
14	27.26	1363	5000
15	20.34	1017	5000
16	15.64	782	5000
17	10.82	541	5000
18	7.88	394	5000
19	5.46	273	5000
20	3.32	166	5000
21	2.36	118	5000
22	14.36	718	5000
23	23.68	1184	5000
24	26.62	1331	5000
25	26.96	1348	5000
26	24.2	1210	5000
27	21.04	1052	5000
28	17.14	857	5000
29	14.14	707	5000
30	10.84	542	5000
31	7.22	361	5000
32	5.7	285	5000
33	9.02	451	5000
34	14.72	736	5000
35	19.84	992	5000
36	23.42	1171	5000
37	22.72	1136	5000
38	21.48	1074	5000
39	19.44	972	5000
40	17.86	893	5000
41	14.78	739	5000
42	11.74	587	5000
43	9.96	498	5000
44	9.52	476	5000
45	11.2	560	5000
46	14.44	722	5000
47	18.64	932	5000
48	19.34	967	5000
49	20.44	1022	5000
50	20.1	1005	5000
51	19.64	982	5000
52	18	900	5000
53	16.1	805	5000
54	12.78	639	5000
55	11.7	585	5000
56	11.58	579	5000
57	11.64	582	5000
58	15.68	784	5000
59	17.02	851	5000
60	16.98	849	5000
61	19.7	985	5000
62	18.72	936	5000
63	17.8	890	5000
64	17.92	896	5000
65	16.18	809	5000
66	14.6	730	5000
67	14	700	5000
68	12.6	630	5000
69	13.26	663	5000
70	15.16	758	5000
71	15.7	785	5000
72	17.2	860	5000
73	17.3	865	5000
74	17.9	895	5000
75	17.7	885	5000
76	18.02	901	5000
77	16.52	826	5000
78	14.94	747	5000
79	13.94	697	5000
80	14.64	732	5000
81	14.48	724	5000
82	14.66	733	5000
83	15.2	760	5000
84	17.16	858	5000
85	17.58	879	5000
86	16.38	819	5000
87	16.84	842	5000
88	17.22	861	5000
89	15.86	793	5000
90	16.42	821	5000
91	15.38	769	5000
92	15.68	784	5000
93	14.5	725	5000
94	14.52	726	5000
95	14.98	749	5000
96	17.02	851	5000
97	16.2	810	5000
98	17.3	865	5000
99	15.48	774	5000
