time	miss_percent	period_cache_misses	period_requests
0	79.36	3968	5000
1	47.1	2355	5000
2	29.12	1456	5000
3	18.22	911	5000
4	10.46	523	5000
5	6.36	318	5000
6	3.72	186	5000
7	2.48	124	5000
8	1.12	56	5000
9	8.38	419	5000
10	18.78	939	5000
11	24.94	1247	5000
12	33.46	1673	5000
13	29.96	1498	5000
14	23.7	1185	5000
15	18.46	923	5000
16	13.96	698	5000
17	9.76	488	5000
18	10.54	527	5000
19	10.42	521	5000
20	13.2	660	5000
21	13.88	694	5000
22	16.88	844	5000
23	18.86	943	5000
24	20.68	1034	5000
25	20.76	1038	5000
26	19.12	956	5000
27	19.02	951	5000
28	18.16	908	5000
29	15.86	793	5000
30	16.42	821	5000
31	15.56	778	5000
32	14.58	729	5000
33	14.84	742	5000
34	15.38	769	5000
35	15.26	763	5000
36	15.88	794	5000
37	17.7	885	5000
38	18.04	902	5000
39	18.46	923	5000
40	18.9	945	5000
41	18.58	929	5000
42	16.86	843	5000
43	16.88	844	5000
44	15.22	761	5000
45	14.92	746	5000
46	15.04	752	5000
47	15.44	772	5000
48	16.18	809	5000
49	17.14	857	5000
50	16.92	846	5000
51	17.68	884	5000
52	18.7	935	5000
53	18.92	946	5000
54	16.74	837	5000
55	16.18	809	5000
56	16.3	815	5000
57	15.42	771	5000
58	16.68	834	5000
59	15.96	798	5000
60	15.66	783	5000
61	17.18	859	5000
62	16.08	804	5000
63	16.46	823	5000
64	17.32	866	5000
65	17.7	885	5000
66	17.42	871	5000
67	17.74	887	5000
68	17.16	858	5000
69	16.22	811	5000
70	16.56	828	5000
71	16.64	832	5000
72	16.1	805	5000
73	16.24	812	5000
74	15.8	790	5000
75	16.02	801	5000
76	17.16	858	5000
77	17.44	872	5000
78	16.96	848	5000
79	18.04	902	5000
80	17.56	878	5000
81	16.68	834	5000
82	16.1	805	5000
83	17.02	851	5000
84	16.9	845	5000
85	16.22	811	5000
86	15.12	756	5000
87	15.66	783	5000
88	17.54	877	5000
89	16.94	847	5000
90	17.58	879	5000
91	17.06	853	5000
92	17.4	870	5000
93	17.48	874	5000
94	16.68	834	5000
95	16.72	836	5000
96	15.62	781	5000
97	16.12	806	5000
98	17.12	856	5000
99	16.1	805	5000
